# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416384479;sda;67.17;0.00;15892.34;236.61;2.70;40.21;0.31;2.07
axle;60;1416384539;sda;3.41;0.00;629.44;184.67;0.02;4.55;0.33;0.11
axle;60;1416384599;sda;4.91;0.67;1021.95;208.24;0.03;6.88;0.27;0.13
axle;60;1416384659;sda;2.05;0.27;303.70;148.23;0.01;4.16;0.23;0.05
axle;60;1416384719;sda;0.47;0.00;32.04;68.57;0.00;0.00;0.00;0.00
axle;60;1416384779;sda;1.07;0.00;144.08;134.12;0.00;0.75;0.25;0.03
axle;60;1416384839;sda;0.95;0.00;113.01;118.60;0.00;0.14;0.07;0.01
axle;60;1416384899;sda;0.75;0.00;88.55;118.04;0.00;0.53;0.09;0.01
axle;60;1416384959;sda;0.85;0.27;55.47;65.57;0.00;0.00;0.00;0.00
axle;60;1416385019;sda;0.62;0.00;44.79;72.65;0.00;0.22;0.22;0.01
axle;60;1416385079;sda;0.90;0.00;118.25;131.26;0.00;0.30;0.15;0.01
axle;60;1416385139;sda;0.82;0.00;87.72;107.27;0.00;0.24;0.08;0.01
